id,question,answer,wrong_answers,difficulty,subject
116,"In 1939, Britain and France declared war on Germany after it invaded which country?",Poland,"['Czechoslovakia', 'Austria', 'Hungary']",1,History
117,"Who was among those killed in the 2010 Smolensk, Russia plane crash tragedy?",The Polish President,"['Pope John Paul II', 'Bang-Ding Ow', 'Albert Putin']",1,History
118,To what political party did Abraham Lincoln belong when elected POTUS?,Republican,"['Democrat', 'Independent', 'Whig']",1,History
119,These two countries held a commonwealth from the 16th to 18th century.,Poland and Lithuania,"['Hutu and Rwanda', 'North Korea and South Korea', 'Bangladesh and Bhutan']",1,History
120,How old was Adolf Hitler when he died?,56,"['43', '65', '47']",1,History
121,In what year did Neil Armstrong and Buzz Aldrin land on the moon?,1969,"['1965', '1966', '1973']",2,History
122," What Russian automatic gas-operated assault rifle was developed in the Soviet Union in 1947, and is still popularly used today?",AK-47,"['RPK', 'M16', 'MG 42']",2,History
123,America&#039;s Strategic Defense System during the Cold War was nicknamed after this famous movie.,Star Wars,"['Jaws', 'Blade Runner', 'Alien']",2,History
124,"The Tsar Bomba, the most powerful nuclear bomb ever tested, had a yield of 50 megatons but theoretically had a maximum yield of how much?",100 Megatons,"['200 Megatons', '75 Megatons', '150 Megatons']",2,History
125,What was the capital of South Vietnam before the Vietnam War?,Saigon,"['Ho Chi Minh City', 'Hanoi', 'Hue']",2,History
126,Who was the first explorer to sail to North America?,Leif Erikson,"['Christopher Columbus', 'Amerigo Vespucci', 'Ferdinand Magellan']",2,History
127,Which of his six wives was Henry VIII married to the longest?,Catherine of Aragon,"['Anne Boleyn', 'Jane Seymour', 'Catherine Parr']",2,History
128,Which country had an &quot;Orange Revolution&quot; between 2004 and 2005?,Ukraine,"['Belarus', 'Latvia', 'Lithuania']",2,History
129,The Herero genocide was perpetrated in Africa by which of the following colonial nations?,Germany,"['Britain', 'Belgium', 'France']",2,History
130,Which of the following battles is often considered as marking the beginning of the fall of the Western Roman Empire?,Battle of Adrianople,"['Battle of Thessalonica', 'Battle of Pollentia', 'Battle of Constantinople']",2,History
131,"One of the deadliest pandemics, the &quot;Spanish Flu&quot;, killed off what percentage of the human world population at the time?",3 to 6 percent,"['6 to 10 percent', '1 to 3 percent', 'less than 1 percent']",2,History
132,Which of the following Assyrian kings did NOT rule during the Neo-Assyrian Empire?,Shamshi-Adad III,"['Shalmaneser V', 'Esharhaddon', 'Ashur-nasir-pal II']",2,History
133,Which infamous European traitor was known as &quot;the last person to enter Parliament with honest intentions&quot;?,Guy Fawkes,"['Robert Catesby', 'Francis Tresham', 'Everard Digby']",2,History
134,When was the United States National Security Agency established?,"November 4, 1952","['July 26, 1908', ' July 1, 1973', ' November 25, 2002']",2,History
135,On which day did the attempted coup d&#039;etat of 1991 in the Soviet Union begin?,August 19,"['August 21', 'December 26', 'December 24']",2,History
136,What year did the Battle of Agincourt take place?,1415,"['1463', '1401', '1422']",2,History
137,When did the Battle of the Bulge end?,"January 25, 1945","['August 6, 1945', 'December 7, 1941', 'December 16, 1944']",2,History
138,What year were the Marian Reforms instituted in the Roman Republic?,107 BCE,"['42 BCE', '264 BCE', '102 CE']",2,History
139,What nationality was sultan Saladin?,Kurdish,"['Arab', 'Egyptian', 'Syrian']",2,History
140,Which WWII tank ace is credited with having destroyed the most tanks?,Kurt Knispel,"['Michael Wittmann', 'Walter Kniep', 'Otto Carius']",2,History
141,What is the oldest US state?,Delaware,"['Rhode Island', 'Maine', 'Virginia']",2,History
142,What is the mnemonic device for remembering the fates of the wives of Henry VIII?,"Divorced, Beheaded, Died, Divorced, Beheaded, Survived","['Beheaded, Died, Divorced, Divorced, Beheaded, Survived', 'Died, Beheaded, Divorced, Beheaded, Survived, Divorced', 'Survived, Beheaded, Died, Divorced, Divorced, Beheaded']",2,History
143,When did Norway get its constitution?,1814,"['1932', '1905', '1854']",2,History
144,What was the bloodiest single-day battle during the American Civil War?,The Battle of Antietam,"['The Siege of Vicksburg', 'The Battle of Gettysburg', 'The Battles of Chancellorsville']",2,History
145,In what year did the First World War end?,1918,"['1914', '1916', '1912']",2,History
146,"Which U.S. president took part in the Potsdam Conference, where the Allies reached a peace settlement with Germany?",Harry S. Truman,"['Dwight D. Eisenhower', 'Franklin D. Roosevelt', 'Herbert Hoover']",2,History
147,In what year did Kentucky become the 15th state to join the union?,1792,"['1782', '1798', '1788']",2,History
148,Which of the following countries was the first to send an object into space?,Germany,"['USA', 'Russia', 'China']",2,History
149,"In 1961, an American B-52 aircraft crashed and nearly detonated two 4mt nuclear bombs over which US city?","Goldsboro, North Carolina","['Hicksville, New York', 'Jacksonville, Florida', 'Conway, Arkansas']",2,History
150,The minigun was designed in 1960 by which manufacturer.,General Electric,"['Colt Firearms', 'Heckler &amp; Koch', 'Sig Sauer']",2,History
151,The seed drill was invented by which British inventor?,Jethro Tull,"['Charles Babbage', 'Isaac Newton', 'J.J Thomson']",3,History
152,Pianist Fr&eacute;d&eacute;ric Chopin was a composer of which musical era?,Romantic,"['Classic', 'Baroque', 'Renaissance']",3,History
153,Which naval battle was considered the turning point of the Pacific Ocean Theater during World War 2?,Battle of Midway,"['Attack on Truk Island', 'Attack on Pearl Harbor', 'Battle of the Coral Sea']",3,History
154,"In the year 1900, what were the most popular first names given to boy and girl babies born in the United States?",John and Mary,"['Joseph and Catherine', 'William and Elizabeth', 'George and Anne']",3,History
155,Spain was formed in 1469 with the marriage of Isabella I of Castile and Ferdinand II of what other Iberian kingdom?,Aragon,"['Galicia', 'Le&oacute;n', 'Navarre']",3,History
156,What was the name of the spy ring that helped the United States win the Revolutionary War?,Culper Ring,"['New York Spy Ring', 'Washington&#039;s Spies', 'Unnamed']",3,History
157,What year was Canada founded in?,1867,"['1798', '1859', '1668']",3,History
158,What age was King Henry V when he died?,36,"['62', '87', '73']",3,History
159,When did Canada leave the confederation to become their own nation?,"July 1st, 1867","['July 1st, 1763', 'July 1st, 1832', 'July 1st, 1902']",3,History
160,When was the SS or Schutzstaffel established?,"April 4th, 1925","['September 1st, 1941', 'March 8th, 1935', 'February 21st, 1926']",3,History
161,During the Wars of the Roses (1455 - 1487) which Englishman was dubbed &quot;the Kingmaker&quot;?,Richard Neville,"['Richard III', 'Henry V', 'Thomas Warwick']",3,History
162,Bohdan Khmelnytsky was which of the following?,Leader of the Ukrainian Cossacks,"['General Secretary of the Communist Party of the USSR', 'Prince of Wallachia', 'Grand Prince of Novgorod']",3,History
163,Which one of these rulers did not belong to the Habsburg dynasty?,Philip V,"['Charles V', 'Philip II', 'Francis Joseph']",3,History
164,"During the Roman Triumvirate of 42 BCE, what region of the Roman Republic was given to Lepidus?",Hispania ,"['Italia', 'Gallia', 'Asia']",3,History
165,The Second Boer War in 1899 was fought where?,South Africa,"['Argentina', 'Nepal', 'Bulgaria']",3,History
166,In which year did the Tokyo Subway Sarin Attack occur?,1995,"['2001', '2011', '1991']",3,History
167,What was the real name of the Albanian national leader Skanderbeg?,Gjergj Kastrioti,"['Diturak Zhulati', 'Iskander Bejko', 'Mirash Krasniki']",3,History
168,Who invented the &quot;Flying Shuttle&quot; in 1738; one of the key developments in the industrialization of weaving?,John Kay,"['James Hargreaves', 'Richard Arkwright', 'John Deere']",3,History
169,The Hagia Sophia was commissioned by which emperor of the Byzantine Empire?,Justinian I,"['Constantine IV', 'Arcadius', 'Theodosius the Great']",3,History
170,"During the Spanish Civil War (1936), Francisco Franco fought for which political faction?",Nationalist Spain,"['Republican Spain', 'Popular Front', 'Papal State']",3,History
171,The Battle of Hastings was fought in which year?,1066,"['911', '1204', '1420']",3,History
172,Who was the President of the United States during the signing of the Gadsden Purchase?,Franklin Pierce,"['Andrew Johnson', 'Abraham Lincoln', 'James Polk']",3,History
173,"When was the city of Rome, Italy founded?",753 BCE,"['902 BCE', '524 BCE', '697 BCE']",3,History
174,How many women joined the United States Armed Services during World War II?,"350,000","['225,000', '100,000', '500,000']",3,History
175,"What was the code name for the Allied invasion of Southern France on August 15th, 1944?",Operation Dragoon,"['Operation Overlord', 'Operation Market Garden', 'Operation Torch']",3,History
176,What was the aim of the &quot;Umbrella Revolution&quot; in Hong Kong in 2014?,Genuine universal suffrage,"['Gaining Independence', 'Go back under British Rule', 'Lower taxes']",3,History
177,What was the name of the German offensive operation in October 1941 to take Moscow before winter?,Operation Typhoon,"['Operation Sunflower', 'Operation Barbarossa', 'Case Blue']",3,History
178,When was the &quot;Siege of Leningrad&quot; lifted during World War II?,January 1944,"['September 1943', 'November 1943', 'March 1944']",3,History
179,Which of the following was not one of Joseph Stalin&#039;s ten blows during World War II?,Vistula-Oder Offensive,"['Crimean Offensive', 'Leningrad-Novgorod Offensive', 'Operation Bagration']",3,History
180,What did the abbreviation &quot;RMS&quot; stand for in the RMS Titanic in 1912?,Royal Mail Ship,"['Royal Majesty Service', 'Regular Maritime Schedule ', 'Regulated Maelstrom Sensor']",3,History
181,Which Apollo mission was the first one to land on the Moon?,Apollo 11,"['Apollo 10', 'Apollo 9', 'Apollo 13']",1,Science & Nature
182,Which of the following bones is not in the leg?,Radius,"['Patella', 'Tibia', 'Fibula ']",1,Science & Nature
183,Which of these bones is hardest to break?,Femur,"['Cranium', 'Humerus', 'Tibia']",1,Science & Nature
184,What is the largest animal currently on Earth?,Blue Whale,"['Orca', 'Colossal Squid', 'Giraffe']",1,Science & Nature
185,Which element has the chemical symbol &#039;Fe&#039;?,Iron,"['Gold', 'Silver', 'Tin']",1,Science & Nature
186,What name is given to all baby marsupials?,Joey,"['Calf', 'Pup', 'Cub']",1,Science & Nature
187,Which type of rock is created by intense heat AND pressure?,Metamorphic,"['Sedimentary', 'Igneous', 'Diamond']",1,Science & Nature
188,What is the &quot;powerhouse&quot; of the Eukaryotic animal cell?,Mitochondria,"['Nucleus', 'Chloroplast', 'Endoplasmic Reticulum']",1,Science & Nature
189,"This element, when overcome with extreme heat and pressure, creates diamonds.",Carbon,"['Nitrogen', 'Oxygen', 'Hydrogen']",1,Science & Nature
190,What is the elemental symbol for mercury?,Hg,"['Me', 'Mc', 'Hy']",1,Science & Nature
191,How many planets are in our Solar System?,Eight,"['Nine', 'Seven', 'Ten']",1,Science & Nature
192,What is the hottest planet in the Solar System?,Venus,"['Mars', 'Mercury', 'Jupiter']",1,Science & Nature
193,Which gas forms about 78% of the Earth&rsquo;s atmosphere?,Nitrogen,"['Oxygen', 'Argon', 'Carbon Dioxide']",1,Science & Nature
194,What is the standard SI unit for temperature?,Kelvin,"['Fahrenheit', 'Celsius', 'Rankine']",1,Science & Nature
195,How many planets make up our Solar System?,8,"['7', '9', '6']",1,Science & Nature
196,Which of the following blood vessels carries deoxygenated blood?,Pulmonary Artery,"['Pulmonary Vein', 'Aorta', 'Coronary Artery']",1,Science & Nature
197,What is the chemical makeup of water?,H20,"['C12H6O2', 'CO2', 'H']",1,Science & Nature
198,What is the primary addictive substance found in tobacco?,Nicotine,"['Cathinone', 'Ephedrine', 'Glaucine']",1,Science & Nature
199,Alzheimer&#039;s disease primarily affects which part of the human body?,Brain,"['Lungs', 'Skin', 'Heart']",1,Science & Nature
200,"What was the name of the first artificial Earth satellite, launched by the Soviet Union in 1957?",Sputnik 1,"['Soyuz 7K-OK', 'Zenit-2', 'Voskhod 3KV']",1,Science & Nature
201,What does DNA stand for?,Deoxyribonucleic Acid,"['Deoxyribogenetic Acid', 'Deoxyribogenetic Atoms', 'Detoxic Acid']",1,Science & Nature
202,The human heart has how many chambers?,4,"['2', '6', '3']",1,Science & Nature
203,The element involved in making human blood red is which of the following?,Iron,"['Copper', 'Iridium', 'Cobalt']",1,Science & Nature
204,The asteroid belt is located between which two planets?,Mars and Jupiter,"['Jupiter and Saturn', 'Mercury and Venus', 'Earth and Mars']",1,Science & Nature
205,Human cells typically have how many copies of each gene?,2,"['1', '4', '3']",1,Science & Nature
206,Which is the most abundant element in the universe?,Hydrogen,"['Helium', 'Lithium', 'Oxygen']",1,Science & Nature
207,Which element has the highest melting point?,Carbon,"['Tungsten', 'Platinum', 'Osmium']",1,Science & Nature
208,What is the standard atomic weight of a Plutonium nucleus?,244,"['94', '481', '128']",1,Science & Nature
209,What is the unit of electrical resistance?,Ohm,"['Mho', 'Tesla', 'Joule']",1,Science & Nature
210,What animal takes part in Schr&ouml;dinger&#039;s most famous thought experiment?,Cat,"['Dog', 'Bat', 'Butterfly']",1,Science & Nature
211,"Along with Oxygen, which element is primarily responsible for the sky appearing blue?",Nitrogen,"['Helium', 'Carbon', 'Hydrogen']",2,Science & Nature
